vertice	E	N	H 	SIGMA_E	SIGMA_N	SIGMA_H
1	247636,4121	9118320,135	128,6458	0,75	0,75	1,19
2	247703,3768	9118301,111	127,635	0,03	0,03	0,30
3	247744,4751	9118295,087	128,1628	0,09	0,09	0,49
4	247752,1197	9118295,167	128,4721	0,02	0,02	0,25
5	247806,5324	9118303,675	129,2959	0,07	0,07	0,42
6	247919,3365	9118331,845	120,3475	0,03	0,03	0,27
7	247900,2948	9118514,419	131,9458	0,03	0,03	0,32
8	247901,6524	9118539,532	132,1418	0,03	0,03	0,30
9	248004,4059	9118559,549	128,1652	0,04	0,04	0,33
10	248001,2523	9118665,05	131,1359	0,03	0,03	0,28
11	247996,3054	9118705,984	122,2098	0,07	0,07	0,43
12	248117,5592	9118719,384	117,776	0,02	0,02	0,26
13	248303,9392	9118756,519	132,3743	0,20	0,20	0,67
14	248313,0606	9118482,9	122,2149	0,71	0,71	1,35
15	248406,7507	9118493,382	125,7156	0,20	0,20	0,73
16	248601,4972	9118511,002	120,1823	0,39	0,39	0,99
17	248761,327	9118524,372	127,0801	0,04	0,04	0,31
18	248705,629	9118521,275	123,2485	0,39	0,39	0,97
19	248786,069	9118526,208	131,974	0,79	0,79	1,40
20	248875,9691	9118532,499	137,6623	0,03	0,03	0,24
21	249145,8707	9118551,322	139,4107	0,15	0,15	0,58
22	247646,4898	9118103,975	125,1915	0,09	0,09	0,43
23	247507,8269	9118063,79	120,5538	0,13	0,13	0,49
24	247511,3855	9117970,37	109,3757	0,23	0,23	0,66
25	247403,1948	9117888,625	107,2128	2,08	2,08	2,10
26	247398,1549	9117653,486	125,0938	0,45	0,45	0,94
27	247400,3892	9117649,997	125,0736	0,03	0,03	0,25
28	247432,1144	9117676,658	123,1842	0,15	0,15	0,46
29	247439,3409	9117681,866	122,5483	0,11	0,11	0,47
30	247494,5602	9117710,103	118,0326	0,09	0,09	0,43
31	247494,6798	9117698,502	119,154	0,15	0,15	0,54
32	247640,7767	9117696,951	110,1235	0,07	0,07	0,39
33	247637,5489	9117697,975	109,6329	0,02	0,02	0,23
34	248547,1914	9118063,931	94,8479	1,21	1,21	1,80
35	248542,1968	9118077,522	95,471	0,93	0,93	1,59
36	248548,8672	9118094,516	96,3502	1,04	1,04	1,60
37	248554,9366	9118095,915	98,1984	1,16	1,16	1,68
38	248585,3469	9118140,463	98,7822	1,27	1,27	1,79
39	248585,3198	9118140,55	97,8133	1,15	1,15	1,70
40	248584,8247	9118140,592	97,9195	1,10	1,10	1,72
41	248553,0517	9118045,668	100,0397	1,36	1,36	1,86
42	248551,0368	9118030,221	97,8619	1,57	1,57	1,95
43	248549,4965	9118013,881	99,2853	1,51	1,51	1,86
44	248527,5283	9117988,543	99,0527	1,35	1,35	1,74
45	248485,8952	9117967,163	96,225	0,92	0,92	1,55
46	248468,8605	9117933,088	99,152	1,08	1,08	1,57
47	248474,8935	9117900,135	98,9115	0,94	0,94	1,53
48	248506,0574	9117877,64	99,737	1,15	1,15	1,67
49	248512,4798	9117853,884	102,6537	1,14	1,14	1,66
50	248519,7507	9117838,708	98,614	1,22	1,22	1,77
51	248689,7628	9117683,949	101,1776	1,51	1,51	1,86
52	248695,0537	9117675,458	105,0263	1,77	1,77	2,09
53	248717,6982	9117630,909	98,7483	0,36	0,36	0,92
54	248727,3702	9117614,311	99,0344	0,63	0,63	1,21
55	248723,4175	9117602,703	96,484	1,12	1,12	1,67
56	248728,1654	9117596,454	99,6358	12,73	12,73	1,00
57	248755,4638	9117590,419	99,2694	0,03	0,03	0,23
58	248710,8127	9117556,127	99,8427	0,05	0,05	0,28
59	248491,9761	9117532,419	130,4163	0,09	0,09	0,40
60	248488,5476	9117505,811	131,3573	0,05	0,05	0,31
61	248316,1785	9117521,436	141,2946	0,48	0,48	0,99
62	248316,3089	9117521,555	141,6779	0,46	0,46	0,97
63	248321,1193	9117683,87	124,6975	0,46	0,46	0,99
64	248189,5102	9117685,366	134,595	0,52	0,52	1,08
65	248198,5249	9117760,362	125,4327	0,51	0,51	1,06
66	248017,2426	9117731,323	123,7455	0,49	0,49	1,08
67	248004,7886	9117728,955	122,7791	0,43	0,43	0,98
68	248012,7394	9117730,023	123,1658	0,50	0,50	1,07
69	248005,3778	9117718,53	123,8675	0,44	0,44	1,02
70	248011,1383	9117717,926	125,5685	0,52	0,52	1,07
71	247900,7444	9117698,882	119,6748	0,49	0,49	1,08
72	247900,4592	9117654,184	126,2606	0,03	0,03	0,27
73	247899,5715	9117591,75	133,6644	0,04	0,04	0,34
74	247898,7458	9117537,69	135,9725	0,06	0,06	0,42
75	247895,4983	9117374,382	143,4594	0,02	0,02	0,20
76	247630,471	9117428,215	113,1489	0,04	0,04	0,31
77	247623,4415	9117442,551	112,8712	0,04	0,04	0,31
78	247626,9672	9117455,353	112,1572	0,10	0,10	0,48
79	247634,2531	9117469,771	112,2904	0,02	0,02	0,21
80	247638,1569	9117486,547	112,121	0,11	0,11	0,46
81	247632,5996	9117504,483	111,9979	0,02	0,02	0,21
82	247626,4873	9117522,017	112,0197	0,02	0,02	0,25
83	247624,2883	9117537,449	111,8369	0,03	0,03	0,29
84	247629,7591	9117559,226	111,4514	0,04	0,04	0,33
85	247632,7068	9117569,695	111,4934	0,04	0,04	0,35
86	247644,5307	9117574,525	110,14	0,40	0,40	0,94
87	247653,3328	9117587,861	109,9698	0,63	0,63	1,34
88	247655,7546	9117603,278	110,6622	0,47	0,47	1,10
89	247655,3862	9117616,748	110,6496	0,46	0,46	1,10
90	247631,7178	9117657,177	110,5693	0,43	0,43	1,05
91	247629,3959	9117672,191	110,3871	0,69	0,69	1,36
92	247643,3849	9117679,554	110,1959	0,84	0,84	1,52
93	249576,9026	9118554,834	110,0232	0,18	0,18	0,65
94	249672,6644	9118557,854	104,9993	0,05	0,05	0,32
95	249737,4349	9118559,814	95,8088	0,04	0,04	0,27
96	249778,1617	9118555,965	94,1246	0,66	0,66	1,28
97	249792,2711	9118557,388	94,7535	0,99	0,99	1,40
98	249811,9175	9118562,481	96,4724	0,35	0,35	0,85
99	249821,7418	9118557,919	93,9277	0,36	0,36	0,84
100	249845,7003	9118570,475	93,2514	0,90	0,90	1,44
